Game Number,QL Win Percentage (against EV)
193,0.13
194,0.129
195,0.133
196,0.133
197,0.132
198,0.131
199,0.136
200,0.135
201,0.134
202,0.134
203,0.133
204,0.132
205,0.132
206,0.131
207,0.13
208,0.13
209,0.134
210,0.133
211,0.133
212,0.132
213,0.131
214,0.131
215,0.135
216,0.134
217,0.134
218,0.138
219,0.137
220,0.136
221,0.136
222,0.135
223,0.135
224,0.134
225,0.133
226,0.133
227,0.137
228,0.136
229,0.135
230,0.135
231,0.134
232,0.134
233,0.133
234,0.132
235,0.132
236,0.131
237,0.131
238,0.13
239,0.13
240,0.133
241,0.133
242,0.136
243,0.14
244,0.139
245,0.139
246,0.138
247,0.138
248,0.137
249,0.137
250,0.14
251,0.139
252,0.139
253,0.138
254,0.138
255,0.141
256,0.145
257,0.144
258,0.143
259,0.143
260,0.142
261,0.146
262,0.145
263,0.144
264,0.148
265,0.147
266,0.147
267,0.146
268,0.146
269,0.145
270,0.144
271,0.144
272,0.143
273,0.143
274,0.142
275,0.142
276,0.141
277,0.141
278,0.14
279,0.14
280,0.139
281,0.139
282,0.138
283,0.138
284,0.137
285,0.14
286,0.14
287,0.139
288,0.139
289,0.138
290,0.138
291,0.137
292,0.137
293,0.137
294,0.136
295,0.136
296,0.139
297,0.138
298,0.138
299,0.137
300,0.137
301,0.136
302,0.136
303,0.135
304,0.135
305,0.134
306,0.134
307,0.134
308,0.133
309,0.133
310,0.132
311,0.132
312,0.135
313,0.134
314,0.134
315,0.133
316,0.133
317,0.132
318,0.132
319,0.132
320,0.131
321,0.131
322,0.13
323,0.13
324,0.13
325,0.129
326,0.132
327,0.131
328,0.131
329,0.131
330,0.13
331,0.13
332,0.13
333,0.129
334,0.129
335,0.128
336,0.128
337,0.128
338,0.13
339,0.133
340,0.132
341,0.132
342,0.132
343,0.131
344,0.131
345,0.13
346,0.13
347,0.13
348,0.129
349,0.129
350,0.129
351,0.128
352,0.128
353,0.127
354,0.127
355,0.127
356,0.126
357,0.126
358,0.128
359,0.128
360,0.128
361,0.127
362,0.127
363,0.127
364,0.126
365,0.129
366,0.128
367,0.131
368,0.13
369,0.13
370,0.13
371,0.129
372,0.129
373,0.129
374,0.128
375,0.128
376,0.128
377,0.13
378,0.132
379,0.132
380,0.132
381,0.131
382,0.131
383,0.131
384,0.13
385,0.13
386,0.13
387,0.129
388,0.129
389,0.129
390,0.128
391,0.128
392,0.128
393,0.127
394,0.127
395,0.127
396,0.126
397,0.126
398,0.126
399,0.125
400,0.125
401,0.125
402,0.124
403,0.124
404,0.126
405,0.126
406,0.126
407,0.125
408,0.125
409,0.125
410,0.124
411,0.124
412,0.124
413,0.123
414,0.123
415,0.123
416,0.123
417,0.122
418,0.122
419,0.122
420,0.121
421,0.121
422,0.121
423,0.121
424,0.12
425,0.12
426,0.122
427,0.122
428,0.121
429,0.121
430,0.121
431,0.121
432,0.12
433,0.122
434,0.122
435,0.124
436,0.124
437,0.124
438,0.123
439,0.123
440,0.125
441,0.125
442,0.124
443,0.124
444,0.126
445,0.126
446,0.126
447,0.128
448,0.127
449,0.129
450,0.129
451,0.129
452,0.128
453,0.128
454,0.128
455,0.13
456,0.129
457,0.129
458,0.129
459,0.129
460,0.128
461,0.128
462,0.13
463,0.13
464,0.129
465,0.129
466,0.129
467,0.131
468,0.132
469,0.132
470,0.132
471,0.132
472,0.131
473,0.131
474,0.131
475,0.131
476,0.13
477,0.13
478,0.13
479,0.132
480,0.133
481,0.133
482,0.135
483,0.135
484,0.134
485,0.134
486,0.134
487,0.136
488,0.135
489,0.135
490,0.135
491,0.134
492,0.136
493,0.136
494,0.138
495,0.137
496,0.137
497,0.137
498,0.139
499,0.138
500,0.138
501,0.138
502,0.137
503,0.137
504,0.137
505,0.137
506,0.136
507,0.136
508,0.136
509,0.136
510,0.135
511,0.135
512,0.135
513,0.135
514,0.136
515,0.136
516,0.136
517,0.135
518,0.135
519,0.135
520,0.135
521,0.134
522,0.134
523,0.134
524,0.134
525,0.133
526,0.133
527,0.133
528,0.133
529,0.132
530,0.132
531,0.132
532,0.132
533,0.131
534,0.131
535,0.131
536,0.131
537,0.13
538,0.13
539,0.13
540,0.13
541,0.129
542,0.129
543,0.129
544,0.129
545,0.128
546,0.128
547,0.128
548,0.128
549,0.129
550,0.131
551,0.131
552,0.132
553,0.132
554,0.132
555,0.132
556,0.131
557,0.131
558,0.131
559,0.131
560,0.13
561,0.13
562,0.13
563,0.13
564,0.129
565,0.131
566,0.131
567,0.132
568,0.134
569,0.134
570,0.133
571,0.133
572,0.135
573,0.134
574,0.134
575,0.134
576,0.134
577,0.133
578,0.133
579,0.133
580,0.133
581,0.133
582,0.132
583,0.132
584,0.132
585,0.132
586,0.131
587,0.131
588,0.131
589,0.131
590,0.131
591,0.13
592,0.13
593,0.13
594,0.13
595,0.129
596,0.129
597,0.129
598,0.129
599,0.13
600,0.13
601,0.13
602,0.13
603,0.129
604,0.129
605,0.129
606,0.13
607,0.13
608,0.13
609,0.13
610,0.13
611,0.129
612,0.129
613,0.129
614,0.129
615,0.128
616,0.128
617,0.128
618,0.128
619,0.128
620,0.127
621,0.127
622,0.127
623,0.127
624,0.127
625,0.126
626,0.126
627,0.126
628,0.126
629,0.126
630,0.127
631,0.127
632,0.127
633,0.126
634,0.126
635,0.126
636,0.126
637,0.126
638,0.125
639,0.125
640,0.125
641,0.125
642,0.126
643,0.128
644,0.127
645,0.127
646,0.128
647,0.128
648,0.128
649,0.128
650,0.128
651,0.127
652,0.127
653,0.127
654,0.127
655,0.127
656,0.127
657,0.128
658,0.128
659,0.127
660,0.127
661,0.127
662,0.127
663,0.127
664,0.127
665,0.126
666,0.126
667,0.126
668,0.126
669,0.126
670,0.127
671,0.127
672,0.126
673,0.126
674,0.126
675,0.126
676,0.126
677,0.126
678,0.125
679,0.125
680,0.125
681,0.125
682,0.125
683,0.124
684,0.124
685,0.126
686,0.125
687,0.125
688,0.125
689,0.125
690,0.125
691,0.124
692,0.124
693,0.124
694,0.124
695,0.124
696,0.124
697,0.123
698,0.123
699,0.123
700,0.123
701,0.123
702,0.123
703,0.122
704,0.122
705,0.122
706,0.122
707,0.122
708,0.121
709,0.121
710,0.121
711,0.121
712,0.121
713,0.121
714,0.12
715,0.12
716,0.12
717,0.12
718,0.12
719,0.12
720,0.119
721,0.119
722,0.119
723,0.119
724,0.119
725,0.12
726,0.12
727,0.12
728,0.12
729,0.119
730,0.119
731,0.119
732,0.12
733,0.12
734,0.12
735,0.12
736,0.12
737,0.119
738,0.119
739,0.119
740,0.119
741,0.119
742,0.119
743,0.118
744,0.118
745,0.118
746,0.118
747,0.118
748,0.118
749,0.117
750,0.117
751,0.117
752,0.117
753,0.117
754,0.117
755,0.117
756,0.116
757,0.116
758,0.116
759,0.116
760,0.116
761,0.116
762,0.115
763,0.115
764,0.115
765,0.116
766,0.116
767,0.116
768,0.116
769,0.116
770,0.116
771,0.115
772,0.115
773,0.115
774,0.116
775,0.116
776,0.116
777,0.116
778,0.116
779,0.116
780,0.115
781,0.115
782,0.115
783,0.115
784,0.115
785,0.115
786,0.115
787,0.114
788,0.114
789,0.114
790,0.115
791,0.115
792,0.116
793,0.116
794,0.116
795,0.116
796,0.116
797,0.115
798,0.115
799,0.115
800,0.115
801,0.115
802,0.115
803,0.115
804,0.114
805,0.114
806,0.114
807,0.114
808,0.114
809,0.114
810,0.114
811,0.113
812,0.113
813,0.113
814,0.113
815,0.113
816,0.113
817,0.113
818,0.112
819,0.112
820,0.112
821,0.112
822,0.112
823,0.112
824,0.112
825,0.112
826,0.111
827,0.111
828,0.111
829,0.111
830,0.111
831,0.111
832,0.111
833,0.11
834,0.11
835,0.11
836,0.11
837,0.11
838,0.11
839,0.11
840,0.11
841,0.109
842,0.109
843,0.109
844,0.109
845,0.109
846,0.109
847,0.109
848,0.11
849,0.11
850,0.111
851,0.11
852,0.11
853,0.11
854,0.11
855,0.11
856,0.11
857,0.11
858,0.111
859,0.111
860,0.11
861,0.111
862,0.111
863,0.112
864,0.112
865,0.112
866,0.112
867,0.112
868,0.112
869,0.112
870,0.111
871,0.111
872,0.111
873,0.111
874,0.111
875,0.111
876,0.111
877,0.111
878,0.11
879,0.11
880,0.11
881,0.11
882,0.11
883,0.111
884,0.111
885,0.111
886,0.111
887,0.112
888,0.111
889,0.111
890,0.111
891,0.111
892,0.111
893,0.111
894,0.111
895,0.111
896,0.11
897,0.11
898,0.11
899,0.11
900,0.11
901,0.11
902,0.11
903,0.11
904,0.11
905,0.109
906,0.109
907,0.11
908,0.11
909,0.11
910,0.11
911,0.11
912,0.111
913,0.112
914,0.112
915,0.111
916,0.111
917,0.111
918,0.111
919,0.111
920,0.111
921,0.112
922,0.112
923,0.112
924,0.111
925,0.111
926,0.111
927,0.111
928,0.111
929,0.111
930,0.112
931,0.112
932,0.113
933,0.113
934,0.112
935,0.112
936,0.112
937,0.113
938,0.113
939,0.113
940,0.113
941,0.113
942,0.113
943,0.112
944,0.112
945,0.113
946,0.113
947,0.113
948,0.113
949,0.113
950,0.113
951,0.113
952,0.112
953,0.112
954,0.112
955,0.112
956,0.112
957,0.112
958,0.112
959,0.112
960,0.111
961,0.111
962,0.111
963,0.111
964,0.111
965,0.112
966,0.112
967,0.112
968,0.112
969,0.111
970,0.111
971,0.111
972,0.111
973,0.111
974,0.111
975,0.112
976,0.112
977,0.112
978,0.111
979,0.111
980,0.111
981,0.111
982,0.111
983,0.111
984,0.111
985,0.111
986,0.111
987,0.111
988,0.111
989,0.111
990,0.111
991,0.111
992,0.111
993,0.111
994,0.111
995,0.111
996,0.11
997,0.11
998,0.11
999,0.11
1000,0.11
1001,0.11
1002,0.11
1003,0.11
1004,0.11
1005,0.109
1006,0.109
1007,0.109
1008,0.109
1009,0.109
1010,0.109
1011,0.109
1012,0.11
1013,0.11
1014,0.109
1015,0.109
1016,0.11
1017,0.11
1018,0.11
1019,0.11
1020,0.11
1021,0.111
1022,0.111
1023,0.111
1024,0.111
1025,0.111
1026,0.112
1027,0.112
1028,0.112
1029,0.112
1030,0.112
1031,0.113
1032,0.112
1033,0.112
1034,0.112
1035,0.112
1036,0.112
1037,0.112
1038,0.112
1039,0.112
1040,0.112
1041,0.112
1042,0.112
1043,0.112
1044,0.112
1045,0.112
1046,0.112
1047,0.112
1048,0.112
1049,0.112
1050,0.111
1051,0.111
1052,0.111
1053,0.111
1054,0.111
1055,0.111
1056,0.111
1057,0.111
1058,0.111
1059,0.11
1060,0.11
1061,0.111
1062,0.111
1063,0.111
1064,0.111
1065,0.111
1066,0.111
1067,0.111
1068,0.11
1069,0.11
1070,0.11
1071,0.11
1072,0.11
1073,0.111
1074,0.111
1075,0.111
1076,0.111
1077,0.11
1078,0.111
1079,0.111
1080,0.111
1081,0.111
1082,0.111
1083,0.111
1084,0.111
1085,0.111
1086,0.11
1087,0.11
1088,0.11
1089,0.11
1090,0.11
1091,0.11
1092,0.11
1093,0.11
1094,0.11
1095,0.11
1096,0.109
1097,0.109
1098,0.109
1099,0.109
1100,0.109
1101,0.11
1102,0.11
1103,0.11
1104,0.11
1105,0.11
1106,0.109
1107,0.109
1108,0.109
1109,0.109
1110,0.109
1111,0.109
1112,0.109
1113,0.109
1114,0.109
1115,0.109
1116,0.108
1117,0.108
1118,0.108
1119,0.109
1120,0.109
1121,0.109
1122,0.109
1123,0.109
1124,0.109
1125,0.108
1126,0.108
1127,0.108
1128,0.108
1129,0.108
1130,0.108
1131,0.108
1132,0.108
1133,0.108
1134,0.108
1135,0.107
1136,0.107
1137,0.107
1138,0.107
1139,0.107
1140,0.107
1141,0.107
1142,0.107
1143,0.107
1144,0.107
1145,0.107
1146,0.106
1147,0.106
1148,0.106
1149,0.106
1150,0.106
1151,0.106
1152,0.106
1153,0.106
1154,0.106
1155,0.106
1156,0.106
1157,0.105
1158,0.105
1159,0.105
1160,0.105
1161,0.106
1162,0.106
1163,0.106
1164,0.106
1165,0.106
1166,0.105
1167,0.105
1168,0.105
1169,0.105
1170,0.105
1171,0.105
1172,0.105
1173,0.105
1174,0.105
1175,0.105
1176,0.105
1177,0.105
1178,0.104
1179,0.104
1180,0.104
1181,0.104
1182,0.104
1183,0.104
1184,0.105
1185,0.105
1186,0.105
1187,0.104
1188,0.104
1189,0.104
1190,0.104
1191,0.104
1192,0.105
1193,0.105
1194,0.105
1195,0.105
1196,0.105
1197,0.104
1198,0.104
1199,0.104
1200,0.104
1201,0.104
1202,0.104
1203,0.104
1204,0.104
1205,0.104
1206,0.104
1207,0.104
1208,0.104
1209,0.104
1210,0.104
1211,0.104
1212,0.104
1213,0.105
1214,0.105
1215,0.105
1216,0.104
1217,0.104
1218,0.104
1219,0.104
1220,0.104
1221,0.104
1222,0.104
1223,0.104
1224,0.104
1225,0.104
1226,0.104
1227,0.104
1228,0.103
1229,0.103
1230,0.103
1231,0.103
1232,0.103
1233,0.103
1234,0.103
1235,0.103
1236,0.103
1237,0.103
1238,0.103
1239,0.103
1240,0.102
1241,0.102
1242,0.102
1243,0.102
1244,0.102
1245,0.102
1246,0.102
1247,0.102
1248,0.102
1249,0.102
1250,0.102
1251,0.102
1252,0.101
1253,0.101
1254,0.101
1255,0.101
1256,0.102
1257,0.102
1258,0.102
1259,0.102
1260,0.102
1261,0.102
1262,0.101
1263,0.101
1264,0.101
1265,0.101
1266,0.101
1267,0.101
1268,0.101
1269,0.101
1270,0.101
1271,0.101
1272,0.101
1273,0.101
1274,0.101
1275,0.101
1276,0.101
1277,0.101
1278,0.101
1279,0.101
1280,0.101
1281,0.101
1282,0.101
1283,0.101
1284,0.102
1285,0.102
1286,0.102
1287,0.103
1288,0.102
1289,0.103
1290,0.103
1291,0.103
1292,0.103
1293,0.104
1294,0.104
1295,0.103
1296,0.103
1297,0.103
1298,0.103
1299,0.103
1300,0.103
1301,0.103
1302,0.103
1303,0.103
1304,0.103
1305,0.103
1306,0.103
1307,0.103
1308,0.102
1309,0.102
1310,0.103
1311,0.103
1312,0.103
1313,0.103
1314,0.103
1315,0.103
1316,0.103
1317,0.103
1318,0.103
1319,0.103
1320,0.103
1321,0.103
1322,0.103
1323,0.103
1324,0.103
1325,0.103
1326,0.103
1327,0.102
1328,0.102
1329,0.102
1330,0.102
1331,0.103
1332,0.103
1333,0.103
1334,0.103
1335,0.103
1336,0.103
1337,0.102
1338,0.102
1339,0.102
1340,0.102
1341,0.102
1342,0.102
1343,0.102
1344,0.102
1345,0.102
1346,0.102
1347,0.102
1348,0.102
1349,0.102
1350,0.101
1351,0.101
1352,0.102
1353,0.102
1354,0.103
1355,0.103
1356,0.103
1357,0.103
1358,0.103
1359,0.103
1360,0.103
1361,0.103
1362,0.103
1363,0.103
1364,0.103
1365,0.103
1366,0.103
1367,0.103
1368,0.104
1369,0.104
1370,0.104
1371,0.104
1372,0.104
1373,0.104
1374,0.104
1375,0.104
1376,0.104
1377,0.105
1378,0.104
1379,0.104
1380,0.104
1381,0.104
1382,0.104
1383,0.104
1384,0.104
1385,0.104
1386,0.104
1387,0.104
1388,0.104
1389,0.105
1390,0.105
1391,0.106
1392,0.106
1393,0.106
1394,0.105
1395,0.106
1396,0.106
1397,0.106
1398,0.106
1399,0.106
1400,0.106
1401,0.106
1402,0.106
1403,0.105
1404,0.105
1405,0.105
1406,0.106
1407,0.106
1408,0.106
1409,0.106
1410,0.106
1411,0.106
1412,0.106
1413,0.106
1414,0.106
1415,0.106
1416,0.106
1417,0.106
1418,0.106
1419,0.106
1420,0.106
1421,0.106
1422,0.107
1423,0.108
1424,0.107
1425,0.107
1426,0.107
1427,0.107
1428,0.107
1429,0.107
1430,0.108
1431,0.108
1432,0.108
1433,0.108
1434,0.108
1435,0.108
1436,0.109
1437,0.109
1438,0.108
1439,0.108
1440,0.108
1441,0.108
1442,0.108
1443,0.108
1444,0.108
1445,0.109
1446,0.109
1447,0.109
1448,0.108
1449,0.108
1450,0.108
1451,0.109
1452,0.109
1453,0.109
1454,0.109
1455,0.109
1456,0.109
1457,0.109
1458,0.109
1459,0.109
1460,0.109
1461,0.109
1462,0.109
1463,0.109
1464,0.109
1465,0.109
1466,0.109
1467,0.109
1468,0.109
1469,0.109
1470,0.109
1471,0.109
1472,0.109
1473,0.109
1474,0.109
1475,0.108
1476,0.108
1477,0.109
1478,0.109
1479,0.109
1480,0.109
1481,0.109
1482,0.109
1483,0.109
1484,0.108
1485,0.108
1486,0.108
1487,0.108
1488,0.108
1489,0.108
1490,0.108
1491,0.108
1492,0.108
1493,0.108
1494,0.108
1495,0.108
1496,0.108
1497,0.108
1498,0.107
1499,0.107
1500,0.107
1501,0.107
1502,0.107
1503,0.107
1504,0.107
1505,0.107
1506,0.107
1507,0.107
1508,0.107
1509,0.107
1510,0.107
1511,0.107
1512,0.106
1513,0.106
1514,0.106
1515,0.106
1516,0.106
1517,0.106
1518,0.106
1519,0.106
1520,0.106
1521,0.107
1522,0.106
1523,0.106
1524,0.106
1525,0.107
1526,0.107
1527,0.107
1528,0.107
1529,0.108
1530,0.108
1531,0.108
1532,0.108
1533,0.108
1534,0.108
1535,0.108
1536,0.108
1537,0.108
1538,0.108
1539,0.108
1540,0.108
1541,0.108
1542,0.108
1543,0.108
1544,0.108
1545,0.108
1546,0.109
1547,0.109
1548,0.109
1549,0.108
1550,0.108
1551,0.108
1552,0.108
1553,0.108
1554,0.109
1555,0.109
1556,0.109
1557,0.109
1558,0.109
1559,0.109
1560,0.109
1561,0.109
1562,0.109
1563,0.109
1564,0.109
1565,0.109
1566,0.109
1567,0.109
1568,0.109
1569,0.109
1570,0.109
1571,0.109
1572,0.109
1573,0.109
1574,0.109
1575,0.109
1576,0.109
1577,0.108
1578,0.108
1579,0.108
1580,0.108
1581,0.109
1582,0.109
1583,0.109
1584,0.109
1585,0.109
1586,0.108
1587,0.108
1588,0.108
1589,0.108
1590,0.108
1591,0.108
1592,0.108
1593,0.108
1594,0.108
1595,0.108
1596,0.108
1597,0.109
1598,0.109
1599,0.109
1600,0.109
1601,0.109
1602,0.109
1603,0.109
1604,0.108
1605,0.108
1606,0.108
1607,0.108
1608,0.108
1609,0.108
1610,0.108
1611,0.108
1612,0.108
1613,0.108
1614,0.108
1615,0.108
1616,0.108
1617,0.108
1618,0.108
1619,0.107
1620,0.107
1621,0.107
1622,0.107
1623,0.108
1624,0.108
1625,0.108
1626,0.108
1627,0.108
1628,0.108
1629,0.108
1630,0.108
1631,0.108
1632,0.108
1633,0.108
1634,0.108
1635,0.108
1636,0.108
1637,0.108
1638,0.108
1639,0.108
1640,0.108
1641,0.108
1642,0.108
1643,0.108
1644,0.108
1645,0.108
1646,0.108
1647,0.109
1648,0.109
1649,0.109
1650,0.108
1651,0.108
1652,0.108
1653,0.109
1654,0.109
1655,0.109
1656,0.109
1657,0.109
1658,0.109
1659,0.108
1660,0.108
1661,0.108
1662,0.108
1663,0.108
1664,0.109
1665,0.109
1666,0.109
1667,0.109
1668,0.109
1669,0.108
1670,0.108
1671,0.108
1672,0.108
1673,0.108
1674,0.108
1675,0.108
1676,0.108
1677,0.108
1678,0.108
1679,0.108
1680,0.108
1681,0.108
1682,0.108
1683,0.108
1684,0.108
1685,0.108
1686,0.109
1687,0.108
1688,0.109
1689,0.109
1690,0.109
1691,0.109
1692,0.109
1693,0.109
1694,0.109
1695,0.109
1696,0.108
1697,0.109
1698,0.109
1699,0.109
1700,0.109
1701,0.109
1702,0.109
1703,0.109
1704,0.109
1705,0.109
1706,0.109
1707,0.109
1708,0.109
1709,0.109
1710,0.109
1711,0.11
1712,0.11
1713,0.11
1714,0.11
1715,0.11
1716,0.11
1717,0.109
1718,0.109
1719,0.109
1720,0.11
1721,0.11
1722,0.11
1723,0.11
1724,0.11
1725,0.11
1726,0.11
1727,0.11
1728,0.11
1729,0.11
1730,0.11
1731,0.11
1732,0.11
1733,0.11
1734,0.11
1735,0.11
1736,0.109
1737,0.109
1738,0.109
1739,0.109
1740,0.109
1741,0.109
1742,0.11
1743,0.11
1744,0.11
1745,0.109
1746,0.109
1747,0.109
1748,0.109
1749,0.109
1750,0.109
1751,0.109
1752,0.109
1753,0.109
1754,0.109
1755,0.109
1756,0.109
1757,0.109
1758,0.109
1759,0.109
1760,0.109
1761,0.108
1762,0.108
1763,0.108
1764,0.108
1765,0.109
1766,0.109
1767,0.109
1768,0.109
1769,0.109
1770,0.108
1771,0.108
1772,0.108
1773,0.108
1774,0.108
1775,0.109
1776,0.109
1777,0.109
1778,0.109
1779,0.109
1780,0.109
1781,0.109
1782,0.109
1783,0.109
1784,0.109
1785,0.109
1786,0.109
1787,0.109
1788,0.109
1789,0.109
1790,0.109
1791,0.109
1792,0.109
1793,0.109
1794,0.109
1795,0.109
1796,0.109
1797,0.109
1798,0.108
1799,0.108
1800,0.108
1801,0.108
1802,0.108
1803,0.108
1804,0.108
1805,0.108
1806,0.108
1807,0.108
1808,0.108
1809,0.108
1810,0.108
1811,0.108
1812,0.108
1813,0.109
1814,0.109
1815,0.109
1816,0.108
1817,0.108
1818,0.108
1819,0.108
1820,0.108
1821,0.108
1822,0.109
1823,0.109
1824,0.109
1825,0.108
1826,0.108
1827,0.108
1828,0.108
1829,0.109
1830,0.109
1831,0.109
1832,0.109
1833,0.109
1834,0.109
1835,0.109
1836,0.109
1837,0.109
1838,0.109
1839,0.109
1840,0.109
1841,0.109
1842,0.109
1843,0.109
1844,0.108
1845,0.108
1846,0.108
1847,0.108
1848,0.108
1849,0.108
1850,0.108
1851,0.108
1852,0.108
1853,0.108
1854,0.108
1855,0.108
1856,0.108
1857,0.108
1858,0.108
1859,0.108
1860,0.108
1861,0.108
1862,0.108
1863,0.108
1864,0.108
1865,0.109
1866,0.109
1867,0.109
1868,0.109
1869,0.109
1870,0.109
1871,0.108
1872,0.108
1873,0.108
1874,0.108
1875,0.108
1876,0.108
1877,0.108
1878,0.108
1879,0.108
1880,0.108
1881,0.108
1882,0.108
1883,0.108
1884,0.108
1885,0.108
1886,0.108
1887,0.109
1888,0.109
1889,0.109
1890,0.109
1891,0.109
1892,0.109
1893,0.109
1894,0.109
1895,0.109
1896,0.109
1897,0.109
1898,0.109
1899,0.108
1900,0.108
1901,0.108
1902,0.108
1903,0.108
1904,0.108
1905,0.109
1906,0.109
1907,0.109
1908,0.108
1909,0.108
1910,0.108
1911,0.109
1912,0.109
1913,0.109
1914,0.109
1915,0.109
1916,0.109
1917,0.109
1918,0.108
1919,0.108
1920,0.108
1921,0.108
1922,0.108
1923,0.108
1924,0.108
1925,0.108
1926,0.109
1927,0.108
1928,0.108
1929,0.108
1930,0.108
1931,0.108
1932,0.108
1933,0.108
1934,0.108
1935,0.108
1936,0.108
1937,0.108
1938,0.108
1939,0.108
1940,0.108
1941,0.108
1942,0.108
1943,0.108
1944,0.108
1945,0.107
1946,0.107
1947,0.107
1948,0.107
1949,0.107
1950,0.107
1951,0.107
1952,0.107
1953,0.107
1954,0.107
1955,0.107
1956,0.107
1957,0.107
1958,0.107
1959,0.107
1960,0.107
1961,0.107
1962,0.107
1963,0.107
1964,0.107
1965,0.107
1966,0.107
1967,0.107
1968,0.107
1969,0.107
1970,0.107
1971,0.107
1972,0.106
1973,0.106
1974,0.106
1975,0.106
1976,0.106
1977,0.106
1978,0.106
1979,0.106
1980,0.107
1981,0.107
1982,0.106
1983,0.106
1984,0.106
1985,0.106
1986,0.106
1987,0.107
1988,0.107
1989,0.107
1990,0.107
1991,0.106
1992,0.107
1993,0.107
1994,0.107
1995,0.107
1996,0.107
1997,0.107
1998,0.107
1999,0.107
2000,0.106
2001,0.106
2002,0.106
2003,0.106
2004,0.106
2005,0.106
2006,0.106
2007,0.106
2008,0.106
2009,0.106
2010,0.106
2011,0.106
2012,0.106
2013,0.106
2014,0.106
2015,0.106
2016,0.106
2017,0.106
2018,0.106
2019,0.106
2020,0.106
2021,0.106
2022,0.106
2023,0.106
2024,0.106
2025,0.106
2026,0.106
2027,0.106
2028,0.106
2029,0.106
2030,0.106
2031,0.106
2032,0.106
2033,0.106
2034,0.106
2035,0.106
2036,0.106
2037,0.106
2038,0.106
2039,0.106
2040,0.106
2041,0.106
2042,0.106
2043,0.106
2044,0.106
2045,0.106
2046,0.106
2047,0.106
2048,0.106
2049,0.106
2050,0.106
2051,0.106
2052,0.106
2053,0.106
2054,0.106
2055,0.106
2056,0.106
2057,0.106
2058,0.106
2059,0.106
2060,0.106
2061,0.106
2062,0.106
2063,0.106
2064,0.106
2065,0.106
2066,0.106
2067,0.105
2068,0.105
2069,0.105
2070,0.105
2071,0.105
2072,0.105
2073,0.105
2074,0.106
2075,0.106
2076,0.105
2077,0.105
2078,0.105
2079,0.105
2080,0.105
2081,0.105
2082,0.106
2083,0.106
2084,0.106
2085,0.106
2086,0.105
2087,0.106
2088,0.106
2089,0.106
2090,0.106
2091,0.106
2092,0.106
2093,0.106
2094,0.106
2095,0.106
2096,0.106
2097,0.106
2098,0.107
2099,0.107
2100,0.107
2101,0.107
2102,0.107
2103,0.107
2104,0.107
2105,0.107
2106,0.107
2107,0.107
2108,0.107
2109,0.107
2110,0.107
2111,0.107
2112,0.107
2113,0.107
2114,0.107
2115,0.107
2116,0.107
2117,0.107
2118,0.107
2119,0.107
2120,0.107
2121,0.107
2122,0.107
2123,0.107
2124,0.107
2125,0.107
2126,0.107
2127,0.107
2128,0.107
2129,0.107
2130,0.107
2131,0.107
2132,0.107
2133,0.107
2134,0.107
2135,0.107
2136,0.107
2137,0.107
2138,0.107
2139,0.107
2140,0.107
2141,0.107
2142,0.107
2143,0.107
2144,0.107
