Game Number,QL Win Percentage (against EV)
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0.038
27,0.037
28,0.036
29,0.034
30,0.067
31,0.065
32,0.094
33,0.091
34,0.088
35,0.086
36,0.083
37,0.108
38,0.105
39,0.103
40,0.1
41,0.098
42,0.095
43,0.093
44,0.091
45,0.089
46,0.109
47,0.106
48,0.104
49,0.122
50,0.12
51,0.118
52,0.115
53,0.113
54,0.111
55,0.109
56,0.107
57,0.105
58,0.121
59,0.119
60,0.117
61,0.115
62,0.113
63,0.111
64,0.109
65,0.123
66,0.121
67,0.119
68,0.118
69,0.116
70,0.114
71,0.113
72,0.111
73,0.11
74,0.122
75,0.12
76,0.118
77,0.117
78,0.115
79,0.114
80,0.113
81,0.111
82,0.11
83,0.108
84,0.107
85,0.106
86,0.105
87,0.103
88,0.102
89,0.101
90,0.1
91,0.099
92,0.109
93,0.108
94,0.106
95,0.105
96,0.115
97,0.113
98,0.112
99,0.111
100,0.12
101,0.119
102,0.118
103,0.117
104,0.115
105,0.114
106,0.123
107,0.121
108,0.12
109,0.119
110,0.118
111,0.117
112,0.125
113,0.124
114,0.123
115,0.122
116,0.129
117,0.128
118,0.127
119,0.126
120,0.125
121,0.124
122,0.123
123,0.122
124,0.121
125,0.12
126,0.119
127,0.118
128,0.125
129,0.124
130,0.123
131,0.122
132,0.121
133,0.12
134,0.119
135,0.119
136,0.118
137,0.117
138,0.116
139,0.115
140,0.114
141,0.113
142,0.113
143,0.112
144,0.111
145,0.11
146,0.11
147,0.109
148,0.115
149,0.114
150,0.113
151,0.119
152,0.118
153,0.118
154,0.117
155,0.116
156,0.122
157,0.121
158,0.12
159,0.126
160,0.125
161,0.124
162,0.123
163,0.129
164,0.134
165,0.133
166,0.133
167,0.132
168,0.131
169,0.13
170,0.129
171,0.129
172,0.128
173,0.127
174,0.126
175,0.126
176,0.131
177,0.13
178,0.129
179,0.134
180,0.133
181,0.133
182,0.132
183,0.131
184,0.13
185,0.13
186,0.129
187,0.128
188,0.128
189,0.127
190,0.132
191,0.131
192,0.13
