Game Number,AI1 [NB] Wins,AI1 [NB] Losses,AI1 [NB] Draws,AI1 [NB] Win Percentage,AI1 [NB] Cumulative Game Reward,AI1 [NB] Reward/Game Average,AI2 [QL] Wins,AI2 [QL] Losses,AI2 [QL] Draws,AI2 [QL] Win Percentage,AI2 [QL] Cumulative Game Reward,AI2 [QL] Reward/Game Average
2337,898,1334,105,0.384,-74000,-31.665,1334,898,105,0.571,74000,31.665
2338,898,1335,105,0.384,-74400,-31.822,1335,898,105,0.571,74400,31.822
2339,899,1335,105,0.384,-74200,-31.723,1335,899,105,0.571,74200,31.723
2340,899,1336,105,0.384,-74600,-31.88,1336,899,105,0.571,74600,31.88
2341,899,1337,105,0.384,-74700,-31.909,1337,899,105,0.571,74700,31.909
2342,899,1338,105,0.384,-75100,-32.067,1338,899,105,0.571,75100,32.067
2343,899,1339,105,0.384,-75300,-32.138,1339,899,105,0.571,75300,32.138
2344,899,1340,105,0.384,-75400,-32.167,1340,899,105,0.572,75400,32.167
2345,899,1341,105,0.383,-75600,-32.239,1341,899,105,0.572,75600,32.239
2346,899,1342,105,0.383,-75800,-32.31,1342,899,105,0.572,75800,32.31
2347,899,1343,105,0.383,-76200,-32.467,1343,899,105,0.572,76200,32.467
2348,899,1344,105,0.383,-76400,-32.538,1344,899,105,0.572,76400,32.538
2349,900,1344,105,0.383,-76200,-32.439,1344,900,105,0.572,76200,32.439
2350,900,1345,105,0.383,-76300,-32.468,1345,900,105,0.572,76300,32.468
2351,900,1346,105,0.383,-76500,-32.539,1346,900,105,0.573,76500,32.539
2352,901,1346,105,0.383,-76100,-32.355,1346,901,105,0.572,76100,32.355
2353,902,1346,105,0.383,-75700,-32.172,1346,902,105,0.572,75700,32.172
2354,903,1346,105,0.384,-75500,-32.073,1346,903,105,0.572,75500,32.073
2355,903,1347,105,0.383,-75700,-32.144,1347,903,105,0.572,75700,32.144
2356,904,1347,105,0.384,-75300,-31.961,1347,904,105,0.572,75300,31.961
2357,905,1347,105,0.384,-75000,-31.82,1347,905,105,0.571,75000,31.82
2358,905,1348,105,0.384,-75300,-31.934,1348,905,105,0.572,75300,31.934
2359,906,1348,105,0.384,-74700,-31.666,1348,906,105,0.571,74700,31.666
2360,907,1348,105,0.384,-74400,-31.525,1348,907,105,0.571,74400,31.525
2361,907,1349,105,0.384,-74600,-31.597,1349,907,105,0.571,74600,31.597
2362,907,1349,106,0.384,-74600,-31.583,1349,907,106,0.571,74600,31.583
2363,907,1350,106,0.384,-74800,-31.655,1350,907,106,0.571,74800,31.655
2364,908,1350,106,0.384,-74400,-31.472,1350,908,106,0.571,74400,31.472
2365,908,1351,106,0.384,-74600,-31.543,1351,908,106,0.571,74600,31.543
2366,909,1351,106,0.384,-74200,-31.361,1351,909,106,0.571,74200,31.361
2367,909,1352,106,0.384,-74300,-31.39,1352,909,106,0.571,74300,31.39
2368,909,1353,106,0.384,-74700,-31.546,1353,909,106,0.571,74700,31.546
2369,909,1354,106,0.384,-74800,-31.575,1354,909,106,0.572,74800,31.575
2370,910,1354,106,0.384,-74500,-31.435,1354,910,106,0.571,74500,31.435
2371,910,1355,106,0.384,-74900,-31.59,1355,910,106,0.571,74900,31.59
2372,910,1356,106,0.384,-75300,-31.745,1356,910,106,0.572,75300,31.745
2373,910,1357,106,0.383,-75700,-31.901,1357,910,106,0.572,75700,31.901
2374,910,1357,107,0.383,-75700,-31.887,1357,910,107,0.572,75700,31.887
2375,910,1358,107,0.383,-76300,-32.126,1358,910,107,0.572,76300,32.126
2376,910,1359,107,0.383,-76500,-32.197,1359,910,107,0.572,76500,32.197
2377,910,1360,107,0.383,-76900,-32.352,1360,910,107,0.572,76900,32.352
2378,910,1361,107,0.383,-77200,-32.464,1361,910,107,0.572,77200,32.464
2379,910,1362,107,0.383,-77600,-32.619,1362,910,107,0.573,77600,32.619
2380,910,1363,107,0.382,-78000,-32.773,1363,910,107,0.573,78000,32.773
2381,910,1364,107,0.382,-78300,-32.885,1364,910,107,0.573,78300,32.885
2382,911,1364,107,0.382,-77900,-32.704,1364,911,107,0.573,77900,32.704
2383,911,1365,107,0.382,-78300,-32.858,1365,911,107,0.573,78300,32.858
2384,912,1365,107,0.383,-78000,-32.718,1365,912,107,0.573,78000,32.718
2385,912,1366,107,0.382,-78200,-32.788,1366,912,107,0.573,78200,32.788
2386,912,1367,107,0.382,-78400,-32.858,1367,912,107,0.573,78400,32.858
2387,912,1368,107,0.382,-78600,-32.928,1368,912,107,0.573,78600,32.928
2388,912,1369,107,0.382,-78800,-32.998,1369,912,107,0.573,78800,32.998
2389,912,1370,107,0.382,-78900,-33.026,1370,912,107,0.573,78900,33.026
2390,912,1371,107,0.382,-79000,-33.054,1371,912,107,0.574,79000,33.054
2391,913,1371,107,0.382,-78800,-32.957,1371,913,107,0.573,78800,32.957
2392,913,1372,107,0.382,-79000,-33.027,1372,913,107,0.574,79000,33.027
2393,913,1373,107,0.382,-79200,-33.097,1373,913,107,0.574,79200,33.097
2394,914,1373,107,0.382,-78800,-32.916,1373,914,107,0.574,78800,32.916
2395,914,1374,107,0.382,-79200,-33.069,1374,914,107,0.574,79200,33.069
2396,915,1374,107,0.382,-78800,-32.888,1374,915,107,0.573,78800,32.888
2397,915,1375,107,0.382,-79000,-32.958,1375,915,107,0.574,79000,32.958
2398,915,1375,108,0.382,-79000,-32.944,1375,915,108,0.573,79000,32.944
2399,915,1376,108,0.381,-79200,-33.014,1376,915,108,0.574,79200,33.014
2400,916,1376,108,0.382,-78900,-32.875,1376,916,108,0.573,78900,32.875
2401,916,1377,108,0.382,-79300,-33.028,1377,916,108,0.574,79300,33.028
2402,916,1378,108,0.381,-79400,-33.056,1378,916,108,0.574,79400,33.056
2403,916,1379,108,0.381,-79600,-33.125,1379,916,108,0.574,79600,33.125
2404,916,1380,108,0.381,-80000,-33.278,1380,916,108,0.574,80000,33.278
2405,916,1381,108,0.381,-80400,-33.43,1381,916,108,0.574,80400,33.43
2406,916,1382,108,0.381,-80600,-33.5,1382,916,108,0.574,80600,33.5
2407,916,1383,108,0.381,-81000,-33.652,1383,916,108,0.575,81000,33.652
2408,916,1384,108,0.38,-81400,-33.804,1384,916,108,0.575,81400,33.804
2409,917,1384,108,0.381,-81000,-33.624,1384,917,108,0.575,81000,33.624
2410,917,1385,108,0.38,-81200,-33.693,1385,917,108,0.575,81200,33.693
2411,917,1386,108,0.38,-81600,-33.845,1386,917,108,0.575,81600,33.845
2412,917,1387,108,0.38,-81900,-33.955,1387,917,108,0.575,81900,33.955
2413,918,1387,108,0.38,-81700,-33.858,1387,918,108,0.575,81700,33.858
2414,919,1387,108,0.381,-81400,-33.72,1387,919,108,0.575,81400,33.72
2415,919,1388,108,0.381,-81600,-33.789,1388,919,108,0.575,81600,33.789
2416,920,1388,108,0.381,-81400,-33.692,1388,920,108,0.575,81400,33.692
2417,921,1388,108,0.381,-81200,-33.595,1388,921,108,0.574,81200,33.595
2418,921,1389,108,0.381,-81600,-33.747,1389,921,108,0.574,81600,33.747
2419,922,1389,108,0.381,-81200,-33.568,1389,922,108,0.574,81200,33.568
2420,923,1389,108,0.381,-80800,-33.388,1389,923,108,0.574,80800,33.388
2421,923,1390,108,0.381,-81000,-33.457,1390,923,108,0.574,81000,33.457
2422,923,1391,108,0.381,-81100,-33.485,1391,923,108,0.574,81100,33.485
2423,923,1392,108,0.381,-81300,-33.553,1392,923,108,0.574,81300,33.553
2424,923,1393,108,0.381,-81500,-33.622,1393,923,108,0.575,81500,33.622
2425,923,1394,108,0.381,-82100,-33.856,1394,923,108,0.575,82100,33.856
2426,924,1394,108,0.381,-81900,-33.759,1394,924,108,0.575,81900,33.759
2427,925,1394,108,0.381,-81500,-33.581,1394,925,108,0.574,81500,33.581
2428,925,1395,108,0.381,-81900,-33.731,1395,925,108,0.575,81900,33.731
2429,925,1396,108,0.381,-82100,-33.8,1396,925,108,0.575,82100,33.8
2430,926,1396,108,0.381,-81700,-33.621,1396,926,108,0.574,81700,33.621
2431,926,1397,108,0.381,-82100,-33.772,1397,926,108,0.575,82100,33.772
2432,926,1398,108,0.381,-82200,-33.799,1398,926,108,0.575,82200,33.799
2433,926,1399,108,0.381,-82400,-33.868,1399,926,108,0.575,82400,33.868
2434,927,1399,108,0.381,-82200,-33.772,1399,927,108,0.575,82200,33.772
2435,927,1399,109,0.381,-82200,-33.758,1399,927,109,0.575,82200,33.758
2436,928,1399,109,0.381,-82000,-33.662,1399,928,109,0.574,82000,33.662
2437,928,1400,109,0.381,-82400,-33.812,1400,928,109,0.574,82400,33.812
2438,928,1401,109,0.381,-82700,-33.921,1401,928,109,0.575,82700,33.921
2439,929,1401,109,0.381,-82500,-33.825,1401,929,109,0.574,82500,33.825
2440,930,1401,109,0.381,-81900,-33.566,1401,930,109,0.574,81900,33.566
2441,930,1402,109,0.381,-82100,-33.634,1402,930,109,0.574,82100,33.634
2442,930,1403,109,0.381,-82200,-33.661,1403,930,109,0.575,82200,33.661
2443,930,1404,109,0.381,-82400,-33.729,1404,930,109,0.575,82400,33.729
2444,931,1404,109,0.381,-82000,-33.552,1404,931,109,0.574,82000,33.552
2445,931,1405,109,0.381,-82200,-33.62,1405,931,109,0.575,82200,33.62
2446,931,1406,109,0.381,-82400,-33.688,1406,931,109,0.575,82400,33.688
2447,931,1407,109,0.38,-82600,-33.756,1407,931,109,0.575,82600,33.756
2448,931,1408,109,0.38,-82800,-33.824,1408,931,109,0.575,82800,33.824
2449,931,1409,109,0.38,-82900,-33.851,1409,931,109,0.575,82900,33.851
2450,931,1410,109,0.38,-83000,-33.878,1410,931,109,0.576,83000,33.878
2451,931,1411,109,0.38,-83200,-33.945,1411,931,109,0.576,83200,33.945
2452,931,1412,109,0.38,-83300,-33.972,1412,931,109,0.576,83300,33.972
2453,931,1413,109,0.38,-83700,-34.121,1413,931,109,0.576,83700,34.121
2454,931,1413,110,0.379,-83700,-34.108,1413,931,110,0.576,83700,34.108
2455,931,1414,110,0.379,-84100,-34.257,1414,931,110,0.576,84100,34.257
2456,931,1415,110,0.379,-84300,-34.324,1415,931,110,0.576,84300,34.324
2457,931,1416,110,0.379,-84700,-34.473,1416,931,110,0.576,84700,34.473
2458,931,1417,110,0.379,-84900,-34.54,1417,931,110,0.576,84900,34.54
2459,931,1418,110,0.379,-85300,-34.689,1418,931,110,0.577,85300,34.689
2460,931,1419,110,0.378,-85700,-34.837,1419,931,110,0.577,85700,34.837
2461,932,1419,110,0.379,-85300,-34.661,1419,932,110,0.577,85300,34.661
2462,932,1420,110,0.379,-85900,-34.89,1420,932,110,0.577,85900,34.89
2463,933,1420,110,0.379,-85300,-34.633,1420,933,110,0.577,85300,34.633
2464,934,1420,110,0.379,-85100,-34.537,1420,934,110,0.576,85100,34.537
2465,934,1421,110,0.379,-85700,-34.767,1421,934,110,0.576,85700,34.767
2466,934,1422,110,0.379,-86100,-34.915,1422,934,110,0.577,86100,34.915
2467,934,1423,110,0.379,-86300,-34.982,1423,934,110,0.577,86300,34.982
2468,934,1424,110,0.378,-86700,-35.13,1424,934,110,0.577,86700,35.13
2469,934,1425,110,0.378,-86900,-35.196,1425,934,110,0.577,86900,35.196
2470,935,1425,110,0.379,-86500,-35.02,1425,935,110,0.577,86500,35.02
2471,935,1426,110,0.378,-86700,-35.087,1426,935,110,0.577,86700,35.087
2472,935,1427,110,0.378,-87100,-35.235,1427,935,110,0.577,87100,35.235
2473,936,1427,110,0.378,-86700,-35.059,1427,936,110,0.577,86700,35.059
2474,937,1427,110,0.379,-86500,-34.964,1427,937,110,0.577,86500,34.964
2475,937,1428,110,0.379,-86900,-35.111,1428,937,110,0.577,86900,35.111
2476,937,1429,110,0.378,-87000,-35.137,1429,937,110,0.577,87000,35.137
2477,938,1429,110,0.379,-86800,-35.042,1429,938,110,0.577,86800,35.042
2478,938,1430,110,0.379,-87000,-35.109,1430,938,110,0.577,87000,35.109
2479,939,1430,110,0.379,-86600,-34.933,1430,939,110,0.577,86600,34.933
2480,939,1430,111,0.379,-86600,-34.919,1430,939,111,0.577,86600,34.919
2481,939,1431,111,0.378,-86800,-34.986,1431,939,111,0.577,86800,34.986
2482,940,1431,111,0.379,-86400,-34.811,1431,940,111,0.577,86400,34.811
2483,941,1431,111,0.379,-85800,-34.555,1431,941,111,0.576,85800,34.555
2484,942,1431,111,0.379,-85400,-34.38,1431,942,111,0.576,85400,34.38
2485,942,1432,111,0.379,-85600,-34.447,1432,942,111,0.576,85600,34.447
2486,942,1433,111,0.379,-85800,-34.513,1433,942,111,0.576,85800,34.513
2487,942,1434,111,0.379,-86000,-34.58,1434,942,111,0.577,86000,34.58
2488,942,1435,111,0.379,-86100,-34.606,1435,942,111,0.577,86100,34.606
2489,943,1435,111,0.379,-85900,-34.512,1435,943,111,0.577,85900,34.512
2490,943,1435,112,0.379,-85900,-34.498,1435,943,112,0.576,85900,34.498
