Position,Previous_Action,Strength,Action,Result
BB,0,ONE_PAIR,Check,-320
BB,0,ONE_PAIR,Fold,-320
SB,1,ONE_PAIR,Check,-450
BB,0,HIGH_CARD,Check,0
SB,0,ONE_PAIR,Raise,45
SB,0,HIGH_CARD,Fold,-50
BB,0,TWO_PAIR,Check,375
BB,0,TWO_PAIR,Call,375
SB,1,ONE_PAIR,Raise,120
BB,1,ONE_PAIR,Check,-200
SB,1,ONE_PAIR,Raise,40
BB,1,THREE_OF_A_KIND,Raise,453
SB,1,TWO_PAIR,Check,-303
BB,1,ONE_PAIR,Check,95
BB,0,TWO_PAIR,Check,195
BB,0,TWO_PAIR,Reraise,195
SB,1,ONE_PAIR,Check,-90
BB,0,ONE_PAIR,Check,180
SB,0,HIGH_CARD,Fold,-20
SB,0,HIGH_CARD,Check,-165
SB,0,HIGH_CARD,Check,-300
BB,0,HIGH_CARD,Check,-20
BB,0,TWO_PAIR,Check,-90
BB,0,TWO_PAIR,Fold,-90
SB,0,THREE_OF_A_KIND,Raise,40
SB,0,THREE_OF_A_KIND,Raise,20
SB,0,THREE_OF_A_KIND,Raise,100
SB,0,ONE_PAIR,Reraise,295
SB,0,ONE_PAIR,Raise,185
SB,0,ONE_PAIR,Raise,225
BB,0,HIGH_CARD,Check,85
BB,0,HIGH_CARD,Reraise,85
SB,1,ONE_PAIR,Check,-140
SB,1,ONE_PAIR,Fold,-40
BB,0,FLUSH,Raise,40
SB,1,HIGH_CARD,Raise,100
SB,1,TWO_PAIR,Raise,120
SB,1,TWO_PAIR,Raise,40
BB,0,TWO_PAIR,Check,-410
BB,0,TWO_PAIR,Call,-410
BB,0,TWO_PAIR,Check,350
BB,0,TWO_PAIR,Call,350
BB,1,TWO_PAIR,Raise,150
BB,0,TWO_PAIR,Check,-175
SB,1,HIGH_CARD,Check,-210
BB,1,ONE_PAIR,Check,-650
BB,1,ONE_PAIR,Call,-650
BB,1,ONE_PAIR,Check,-1000
BB,1,ONE_PAIR,Raise,-1000
BB,1,ONE_PAIR,Check,1000
BB,1,ONE_PAIR,Raise,1000
SB,0,FLUSH,Raise,1000
SB,0,FLUSH,Call,650
SB,0,FLUSH,Raise,650
BB,1,ONE_PAIR,Check,775
SB,1,THREE_OF_A_KIND,Raise,-1250
