Position,Previous_Action,Strength,Action,Result
BB,1,THREE_OF_A_KIND,Raise,1110
SB,0,FULL_HOUSE,Raise,-1100
SB,0,FULL_HOUSE,Call,-1100
BB,1,FULL_HOUSE,Check,-1000
BB,1,FULL_HOUSE,Call,-1000
BB,0,FOUR_OF_A_KIND,Check,1500
BB,0,FOUR_OF_A_KIND,Raise,1500
SB,0,FOUR_OF_A_KIND,All In,1500
BB,0,STRAIGHT,Check,1100
BB,0,STRAIGHT,Raise,1100
SB,0,STRAIGHT,Raise,950
BB,0,HIGH_CARD,Check,-1200
BB,0,HIGH_CARD,Raise,-1200
BB,0,HIGH_CARD,Check,-900
BB,0,HIGH_CARD,Fold,-900
BB,0,HIGH_CARD,Raise,750
SB,1,HIGH_CARD,Raise,950
SB,0,HIGH_CARD,Raise,-700
BB,0,ONE_PAIR,Check,800
BB,0,ONE_PAIR,Call,800
BB,0,ONE_PAIR,Check,-800
BB,0,ONE_PAIR,Fold,-800
SB,1,ONE_PAIR,Check,800
SB,0,ONE_PAIR,Call,450
BB,0,TWO_PAIR,Check,-1200
BB,0,TWO_PAIR,Reraise,-1200
SB,0,TWO_PAIR,Raise,-750
SB,0,THREE_OF_A_KIND,Call,-775
BB,1,FULL_HOUSE,Check,1250
BB,1,FULL_HOUSE,Reraise,1250
BB,1,TWO_PAIR,Raise,-1600
BB,1,TWO_PAIR,Call,-1600
SB,0,STRAIGHT,Raise,1500
SB,0,STRAIGHT,Call,1500
BB,0,TWO_PAIR,Check,-950
BB,0,TWO_PAIR,Call,-950
SB,1,TWO_PAIR,Call,-1110
BB,0,FULL_HOUSE,Check,1100
BB,0,FULL_HOUSE,Reraise,1100
SB,1,STRAIGHT,Raise,1000
SB,0,FULL_HOUSE,Raise,-1500
SB,0,FULL_HOUSE,Call,-1500
BB,0,FULL_HOUSE,Check,-1500
BB,0,FULL_HOUSE,Call,-1500
SB,0,STRAIGHT,Raise,-1100
SB,0,STRAIGHT,Call,-1100
BB,0,STRAIGHT,Check,-950
BB,0,STRAIGHT,Call,-950
SB,0,ONE_PAIR,Raise,1200
SB,0,ONE_PAIR,Call,1200
SB,0,ONE_PAIR,Raise,900
SB,0,HIGH_CARD,Call,-750
BB,1,ONE_PAIR,Check,-950
BB,1,ONE_PAIR,Call,-950
BB,0,ONE_PAIR,Check,700
BB,0,ONE_PAIR,Call,700
SB,0,HIGH_CARD,Raise,-800
SB,0,HIGH_CARD,Raise,800
BB,1,HIGH_CARD,Check,-800
BB,0,HIGH_CARD,Raise,-450
SB,0,THREE_OF_A_KIND,Raise,1200
SB,0,THREE_OF_A_KIND,Call,1200
BB,0,THREE_OF_A_KIND,Check,750
BB,0,THREE_OF_A_KIND,Call,750
